bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
Vietcombank,28,2,,https://baochinhphu.vn/vietcombank-nang-cap-ngan-hang-so-mang-giao-dien-va-trai-nghiem-moi-102240618191557074.htm,https://vnexpress.net/vietcombank-ra-mat-ngan-hang-so-the-he-moi-4759595.html,"Vietcombank nâng cấp ngân hàng số, mang giao diện và trải nghiệm mới - baochinhphu.vn",Vietcombank ra mắt ngân hàng số thế hệ mới - VnExpress
Vietcombank,20,4,,https://baochinhphu.vn/vietcombank-trien-khai-xac-thuc-bang-sinh-trac-hoc-khi-giao-dich-truc-tuyen-102240628193936993.htm,https://vnexpress.net/ba-cach-cap-nhat-thong-tin-sinh-trac-hoc-tai-vietcombank-4763855.html,Vietcombank triển khai xác thực bằng sinh trắc học khi giao dịch trực tuyến - baochinhphu.vn,Ba cách cập nhật thông tin sinh trắc học tại Vietcombank - VnExpress
Vietcombank,0,34,,https://tapchinganhang.gov.vn/vietcombank-co-gia-tri-thuong-hieu-lon-nhat-viet-nam-voi-quy-mo-dat-8914-trieu-usd-29.html,https://baochinhphu.vn/vietcombank-co-gia-tri-thuong-hieu-lon-nhat-viet-nam-102241227104907773.htm,"Vietcombank có giá trị thương hiệu lớn nhất Việt Nam với quy mô đạt 891,4 triệu USD - Tạp chí Ngân hàng","Vietcombank có giá trị thương hiệu lớn nhất Việt Nam, quy mô đạt 891,4 triệu USD - baochinhphu.vn"
Vietcombank,72,48,,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-ky-han-24-thang-giam-lai-vay-cho-tat-ca-khach-hang-188240406233701273.chn,https://cafef.vn/lai-suat-ngan-hang-vietcombank-moi-nhat-thang-8-gui-24-thang-co-lai-suat-tot-nhat-18824080820583869.chn,"Lãi suất ngân hàng Vietcombank tháng 4: Lãi vay giảm mạnh, lãi suất tiết kiệm cao nhất là bao nhiêu? - CafeF",Lãi suất ngân hàng Vietcombank mới nhất tháng 8: Gửi 24 tháng có lãi suất tốt nhất - CafeF
Vietcombank,72,50,,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-ky-han-24-thang-giam-lai-vay-cho-tat-ca-khach-hang-188240406233701273.chn,https://cafef.vn/lai-suat-ngan-hang-vietcombank-moi-nhat-thang-6-gui-24-thang-co-lai-suat-tot-nhat-18824060111331357.chn,"Lãi suất ngân hàng Vietcombank tháng 4: Lãi vay giảm mạnh, lãi suất tiết kiệm cao nhất là bao nhiêu? - CafeF",Lãi suất ngân hàng Vietcombank mới nhất tháng 6: Gửi 24 tháng có lãi suất tốt nhất - CafeF
Vietcombank,72,52,,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-ky-han-24-thang-giam-lai-vay-cho-tat-ca-khach-hang-188240406233701273.chn,https://cafef.vn/lai-suat-tiet-kiem-vietcombank-moi-nhat-thang-7-gui-ky-han-nao-co-lai-suat-tot-nhat-188240701220403808.chn,"Lãi suất ngân hàng Vietcombank tháng 4: Lãi vay giảm mạnh, lãi suất tiết kiệm cao nhất là bao nhiêu? - CafeF",Lãi suất tiết kiệm Vietcombank mới nhất tháng 7: Gửi kỳ hạn nào có lãi suất tốt nhất? - CafeF
Vietcombank,72,57,,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-ky-han-24-thang-giam-lai-vay-cho-tat-ca-khach-hang-188240406233701273.chn,https://cafef.vn/lai-suat-tiet-kiem-moi-nhat-tai-ngan-hang-vietcombank-thang-5-cao-nhat-bao-nhieu-188240508095504424.chn,"Lãi suất ngân hàng Vietcombank tháng 4: Lãi vay giảm mạnh, lãi suất tiết kiệm cao nhất là bao nhiêu? - CafeF",Lãi suất tiết kiệm mới nhất tại ngân hàng Vietcombank tháng 5: Cao nhất bao nhiêu? - CafeF
Vietcombank,72,66,,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-ky-han-24-thang-giam-lai-vay-cho-tat-ca-khach-hang-188240406233701273.chn,https://cafef.vn/lai-suat-ngan-hang-vietcombank-moi-nhat-thang-2-2024-188240203224928928.chn,"Lãi suất ngân hàng Vietcombank tháng 4: Lãi vay giảm mạnh, lãi suất tiết kiệm cao nhất là bao nhiêu? - CafeF",Lãi suất ngân hàng Vietcombank mới nhất tháng 2/2024 - CafeF
Vietcombank,72,69,,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-ky-han-24-thang-giam-lai-vay-cho-tat-ca-khach-hang-188240406233701273.chn,https://cafef.vn/lai-suat-ngan-hang-vietcombank-moi-nhat-gui-12-thang-co-lai-suat-tot-nhat-188240308153055718.chn,"Lãi suất ngân hàng Vietcombank tháng 4: Lãi vay giảm mạnh, lãi suất tiết kiệm cao nhất là bao nhiêu? - CafeF",Lãi suất ngân hàng Vietcombank mới nhất: Gửi 12 tháng có lãi suất tốt nhất - CafeF
Vietcombank,72,70,,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-ky-han-24-thang-giam-lai-vay-cho-tat-ca-khach-hang-188240406233701273.chn,https://cafef.vn/lai-suat-ngan-hang-vietcombank-moi-nhat-thang-11-gui-ky-han-24-thang-co-lai-suat-tot-nhat-188241110165140513.chn,"Lãi suất ngân hàng Vietcombank tháng 4: Lãi vay giảm mạnh, lãi suất tiết kiệm cao nhất là bao nhiêu? - CafeF",Lãi suất ngân hàng Vietcombank mới nhất tháng 11: Gửi kỳ hạn 24 tháng có lãi suất tốt nhất - CafeF
Vietcombank,72,87,,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-ky-han-24-thang-giam-lai-vay-cho-tat-ca-khach-hang-188240406233701273.chn,https://cafef.vn/lai-suat-ngan-hang-vietcombank-moi-nhat-thang-9-gui-ky-han-nao-co-lai-suat-cao-nhat-188240901163159917.chn,"Lãi suất ngân hàng Vietcombank tháng 4: Lãi vay giảm mạnh, lãi suất tiết kiệm cao nhất là bao nhiêu? - CafeF",Lãi suất ngân hàng Vietcombank mới nhất tháng 9: Gửi kỳ hạn nào có lãi suất cao nhất? - CafeF
Vietcombank,72,99,,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-ky-han-24-thang-giam-lai-vay-cho-tat-ca-khach-hang-188240406233701273.chn,https://cafef.vn/lai-suat-tiet-kiem-vietcombank-moi-nhat-thang-10-lai-ky-han-24-thang-cao-nhat-188241003092325378.chn,"Lãi suất ngân hàng Vietcombank tháng 4: Lãi vay giảm mạnh, lãi suất tiết kiệm cao nhất là bao nhiêu? - CafeF",Lãi suất tiết kiệm Vietcombank mới nhất tháng 10: Lãi kỳ hạn 24 tháng cao nhất - CafeF
Vietcombank,72,105,,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-4-lai-suat-tiet-kiem-cao-nhat-danh-cho-ky-han-24-thang-giam-lai-vay-cho-tat-ca-khach-hang-188240406233701273.chn,https://cafef.vn/lai-suat-ngan-hang-vietcombank-thang-1-2024-giam-manh-so-voi-thang-12-2023-188240108103124127.chn,"Lãi suất ngân hàng Vietcombank tháng 4: Lãi vay giảm mạnh, lãi suất tiết kiệm cao nhất là bao nhiêu? - CafeF",Lãi suất ngân hàng Vietcombank tháng 1/2024: Giảm mạnh so với tháng 12/2023 - CafeF
